gender_1;brand_1;age_1;qd_pf1_1;qd_pf2_1;qd_pf3_1;qd_ft1_1;qd_ft2_1;qd_ft3_1;qd_as1_1;qd_as2_1;qd_as3_1;qd_sr1_1;qd_sr2_1;qd_sr3_1;qd_re1_1;qd_re2_1;qd_re3_1;qd_du1_1;qd_du2_1;qd_du3_1;qd_eu1_1;qd_eu2_1;qd_eu3_1;qd_mt1_1;qd_mt2_1;qd_mt3_1;q_old_perf_1;q_old_feat_1;q_old_relib_1;q_old_serv_1;q_old_durb_1;q_old_asth_1;q_old_ease_1;sat1_1;sat2_1;sat3_1;wtp1_1;wtp2_1;wtp3_1;ri1_1;ri2_1;ACSI1_1;ACSI2_1;ACSI3_1;qd_pf1_2;qd_pf2_2;qd_pf3_2;qd_ft1_2;qd_ft2_2;qd_ft3_2;qd_as1_2;qd_as2_2;qd_as3_2;qd_sr1_2;qd_sr2_2;qd_sr3_2;qd_re1_2;qd_re2_2;qd_re3_2;qd_du1_2;qd_du2_2;qd_du3_2;qd_eu1_2;qd_eu2_2;qd_eu3_2;qd_mt1_2;qd_mt2_2;qd_mt3_2;sat1_2;sat3_2;sat2_2;wtp1_2;wtp3_2;wtp2_2;ri1_2;ri2_2;ACSI1_2;ACSI2_2;ACSI3_2
1;4;3;5;4;4;3;4;3;4;4;4;5;4;4;4;5;5;4;4;4;5;4;4;3;4;4;7;4;6;4;6;4;5;7;6;7;5;6;5;5;6;9,00;10,00;10,00;4;4;4;3;3;3;4;4;5;4;4;4;5;5;4;4;4;3;4;4;4;3;4;5;7;7;7;4;5;5;6;7;9,00;9,00;10,00
2;2;5;5;5;5;4;4;4;4;4;4;5;5;5;5;4;4;4;4;4;4;4;5;4;4;4;7;5;5;7;6;6;5;6;6;6;5;4;5;6;6;9,00;9,00;3,00;5;5;5;4;4;4;4;4;4;4;4;4;5;5;5;4;4;4;3;5;5;4;4;4;6;6;6;5;5;4;6;6;8,00;8,00;2,00
1;1;5;4;5;4;5;4;3;4;4;4;4;4;4;5;4;4;4;3;3;4;4;4;4;5;4;6;6;6;6;3;6;6;6;6;6;5;6;6;7;7;10,00;9,00;9,00;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!
2;1;4;5;5;5;5;5;5;4;4;5;4;4;3;5;5;4;3;4;3;5;5;5;3;4;4;7;5;6;6;6;6;6;7;7;7;5;4;3;7;7;9,00;10,00;3,00;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!
2;1;4;4;4;4;3;3;3;4;4;4;4;3;4;3;3;3;3;3;3;4;4;5;3;3;3;5;5;5;6;3;6;6;6;6;7;7;6;6;7;7;8,00;9,00;7,00;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!
2;1;5;4;4;3;4;3;3;3;4;3;4;4;4;4;4;3;3;3;1;3;4;4;3;3;3;6;5;6;6;1;6;4;3;3;3;3;4;3;6;6;7,00;7,00;7,00;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!
2;2;3;5;5;3;4;4;3;4;4;4;4;4;4;3;3;3;4;3;3;3;3;4;3;3;3;6;6;6;5;7;6;5;6;6;6;5;4;3;5;4;9,00;9,00;9,00;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;3;6;6;6;4;4;4;5;5;9,00;9,00;3,00
2;2;3;3;3;3;2;3;1;2;2;3;3;3;3;3;2;3;3;2;2;3;3;3;3;1;2;2;4;1;3;2;1;2;4;4;3;4;3;3;4;4;4,00;6,00;3,00;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!
1;1;3;5;5;4;5;5;5;5;5;5;4;4;4;3;4;4;4;4;3;5;4;5;5;4;4;6;6;6;5;7;7;6;6;6;7;5;4;5;6;6;9,00;9,00;3,00;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!
1;2;5;5;5;5;5;4;4;5;5;5;5;5;5;3;4;5;5;5;5;5;5;5;5;5;5;7;6;7;7;7;7;7;7;7;7;4;4;5;6;6;10,00;10,00;8,00;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!;#осярн!
